"URL","Nid","Post date","Link Category"
"http://www.kaleme.com/","https://filbaan.net/node/788 ","1392-01-27 11:58:06","سایت‌های خبری"
"https://www.filbaan.net/mashaee.mashaee","https://filbaan.net/node/786 ","1392-01-22 15:54:41","اشخاص"
"http://bigsleep.wordpress.com","https://filbaan.net/node/782 ","1392-01-16 18:20:46","وبلاگ‌ها"
"http://mohajerani.maktuob.net","https://filbaan.net/node/784 ","1392-01-16 16:21:31","اشخاص"
"http://monsefaneh.blogspot.com","https://filbaan.net/node/780 ","1392-01-16 16:19:59","وبلاگ‌ها"
"http://www.tahavolesabz.net/","https://filbaan.net/node/778 ","1392-01-16 16:19:01","سایت‌های خبری"
"http://aabeee.blogspot.com","https://filbaan.net/node/776 ","1392-01-16 16:18:09",""
"http://www.pouria-alami.com/","https://filbaan.net/node/774 ","1392-01-16 16:17:14","اشخاص, وبلاگ‌ها"
"http://shirzanan.com/","https://filbaan.net/node/772 ","1392-01-16 16:16:11","زنان"
"http://sinjimbanoo.blogspot.com","https://filbaan.net/node/770 ","1392-01-16 16:15:20",""
"http://farjam.wordpress.com/","https://filbaan.net/node/768 ","1392-01-16 16:14:26","وبلاگ‌ها"
"http://www.radiofarda.com","https://filbaan.net/node/766 ","1392-01-16 16:13:15","سایت‌های خبری"
"http://sasasose.wordpress.com/","https://filbaan.net/node/762 ","1392-01-05 11:42:32","وبلاگ‌ها"
"http://www.seratnews.ir/","https://filbaan.net/node/764 ","1392-01-05 10:43:47","سایت‌های خبری"
"http://www.loghatnaameh.org/","https://filbaan.net/node/761 ","1392-01-05 10:42:25","فرهنگ"
"http://sahamnews.org/","https://filbaan.net/node/758 ","1392-01-05 10:41:07","سایت‌های خبری"
"http://tajrobehayeeazad.wordpress.com/","https://filbaan.net/node/756 ","1392-01-05 10:39:17","وبلاگ‌ها"
"http://zaeefe.wordpress.com/","https://filbaan.net/node/754 ","1391-12-23 13:06:26","زنان, وبلاگ‌ها"
"https://www.filterkhor.com/","https://filbaan.net/node/752 ","1391-12-23 13:05:28","فناوری"
"https://www.filbaan.net/vpn","https://filbaan.net/node/748 ","1391-12-23 12:49:52","فناوری"
"http://www.wikiseda.org","https://filbaan.net/node/750 ","1391-12-23 12:03:48","فرهنگ"
"http://talash-online.com","https://filbaan.net/node/746 ","1391-12-17 12:49:08","سایت‌های خبری"
"http://tighmahi.blogspot.com","https://filbaan.net/node/732 ","1391-12-17 12:41:59","زنان, وبلاگ‌ها"
"http://hiddensongzzz.blogspot.com","https://filbaan.net/node/744 ","1391-12-17 11:48:14","وبلاگ‌ها"
"http://advar-news.biz/","https://filbaan.net/node/742 ","1391-12-17 11:47:30","سایت‌های خبری"
"http://gistela.blogspot.com","https://filbaan.net/node/740 ","1391-12-17 11:46:30","زنان, وبلاگ‌ها"
"https://www.sabzlink.com/","https://filbaan.net/node/738 ","1391-12-17 11:45:33","سایت‌های خبری"
"http://neshanesign.blogspot.com","https://filbaan.net/node/736 ","1391-12-17 11:44:26","وبلاگ‌ها"
"http://ir.voanews.com/","https://filbaan.net/node/734 ","1391-12-17 11:43:28","سایت‌های خبری"
"http://amiraaneh.blogspot.com","https://filbaan.net/node/730 ","1391-12-17 11:41:07","وبلاگ‌ها"
"http://bonyadhomayoun.com","https://filbaan.net/node/728 ","1391-12-17 11:40:12","سازمان‌ها, سایت‌های خبری"
"https://www.filbaan.net/","https://filbaan.net/node/726 ","1391-12-08 12:42:59","سایت‌های خبری"
"http://www.viber.com/","https://filbaan.net/node/724 ","1391-12-08 11:00:17","فناوری"
"http://myedges.wordpress.com/","https://filbaan.net/node/722 ","1391-12-07 18:19:51","وبلاگ‌ها"
"http://www.gunia.blogsky.com/","https://filbaan.net/node/720 ","1391-12-07 18:05:43","وبلاگ‌ها"
"http://www.rayemakojast.org/","https://filbaan.net/node/718 ","1391-12-07 17:56:01","وب‌سایت‌های دیگر"
"http://www.roozonline.com/","https://filbaan.net/node/716 ","1391-12-07 17:51:44","سایت‌های خبری"
"http://sameddin-ziaee.blogspot.fr/","https://filbaan.net/node/714 ","1391-12-07 17:49:45","وبلاگ‌ها"
"http://measer-pear.blogspot.fr/","https://filbaan.net/node/712 ","1391-12-07 17:39:07","وبلاگ‌ها"
"http://www.persian.rfi.fr/","https://filbaan.net/node/710 ","1391-12-07 17:34:45","سایت‌های خبری"
"http://www.vpn.ir/","https://filbaan.net/node/708 ","1391-12-07 17:28:24","فناوری"
"http://seyedmojtaba-vahedi.blogspot.fr/","https://filbaan.net/node/702 ","1391-11-27 15:24:46","اشخاص"
"http://www.arashnaraghi.org/","https://filbaan.net/node/696 ","1391-11-27 15:12:48","اشخاص"
"http://fararei.wordpress.com/","https://filbaan.net/node/706 ","1391-11-27 14:30:34","وبلاگ‌ها"
"http://rememberiranianwomen.com/","https://filbaan.net/node/704 ","1391-11-27 14:28:29","زنان"
"http://netnaz.rozblog.com/","https://filbaan.net/node/700 ","1391-11-27 14:22:10","فناوری"
"http://blog.35dg.com/","https://filbaan.net/node/698 ","1391-11-27 14:17:15","وبلاگ‌ها"
"http://irmug.com/forum/","https://filbaan.net/node/694 ","1391-11-27 14:10:38","فناوری"
"http://www.mohtashami.info/","https://filbaan.net/node/680 ","1391-11-19 11:42:00","اشخاص, زنان, وبلاگ‌ها"
"http://javadroh.blogspot.fr/","https://filbaan.net/node/692 ","1391-11-19 11:23:06","وبلاگ‌ها"
"http://www.enabavi.com/","https://filbaan.net/node/690 ","1391-11-19 11:20:20","اشخاص"
"http://neeloofar.ir/","https://filbaan.net/node/688 ","1391-11-19 10:58:58","فرهنگ"
"http://drmoeen.ir/","https://filbaan.net/node/686 ","1391-11-19 10:54:03","اشخاص"
"http://blog.malakut.org/","https://filbaan.net/node/684 ","1391-11-19 10:51:16","وبلاگ‌ها"
